year,gvkey1,TGTAT_ACQAT,TGTDVAL_ACQAT
2004,019349,0.0007140144,0.0013069628
2004,019625,0.0058476197,0.0031183049
2004,019824,0.1204151404,0.1836272283
2004,020196,0.0990760201,0.0786249526
2004,020779,0.0009805023,0.0023736304
2004,021237,0.0689603684,0.2141504318
2004,021864,0.1416671455,0.1905604969
2004,023810,0.0296379165,0.0976172785
2004,023945,0.096755316,0.2094144029
2004,024032,0.1138481146,0.1391924497
2004,024352,0.0147712471,0.0359321776
2004,024474,0.0301409087,0.0978072489
2004,024792,0.001959138,0.020458998
2004,024893,0.005944243,0.0245529542
2004,024934,0.1046255074,0.206316397
2004,025132,0.0958280262,0.066091298
2004,025150,0.0911261271,0.3307025771
2004,025313,0.0103734265,0.0437598358
2004,025536,0.0096855125,0.0305572711
2004,025694,0.2071595747,0.138868164
2004,025747,0.1793989782,0.1125323
2004,025844,0.0534937473,0.0908384388
2004,025859,0.1552303235,0.3429456225
2004,026012,0.1112706853,0.107939034
2004,026044,0.210531743,0.4672043103
2004,026557,0.1029309947,0.1702423263
2004,028027,0.1644112811,1.0961595211
2004,028184,0.2379942827,0.3753744307
2004,028435,0.0668578818,0.0428271129
2004,028699,0.233727217,0.286394473
2004,029011,0.2143131263,0.3387760039
2004,029074,0.1180080245,0.1416096295
2004,029085,0.2863338863,0.564646332
2004,029108,0.0387496668,0.0732639234
2004,029173,0.0426805315,0.1328711727
2004,029345,0.1456721378,0.1323522523
2004,029356,0.00163028,0.0382095178
2004,029661,0.0399319678,0.1030047573
2004,029900,0.1778107008,0.2193543455
2004,030443,0.1112730807,0.1651938776
2004,030747,0.1074877891,0.0113005465
2004,031549,0.3160263252,0.4507110389
2004,031849,0.0043365794,0.0147614881
2004,061179,0.1841175717,0.2022731016
2004,061350,0.0527868545,0.3224596731
2004,061355,0.0020659396,0.0118145922
2004,061706,0.1970779183,0.5236787356
2004,061719,0.1923301084,0.1223918872
2004,061870,0.1742812204,0.3372527972
2004,062070,0.0097014853,0.0485074265
2004,062336,0.03286588,0.4015568048
2004,062388,0.0011723192,0.4989654283
2004,062634,0.0070384164,0.0627614279
2004,062655,0.0164123208,0.035140803
2004,063281,0.3994469196,0.8123828545
2004,063470,0.2226309167,0.1674571677
2004,063527,0.0356054912,0.0764858699
2004,063559,0.0503960346,0.2509331321
2004,063724,0.0458445059,0.2148961216
2004,063857,0.3498800992,0.1693717739
2004,063951,0.0794513636,0.0650280234
2004,064103,0.2827274678,0.3992286223
2004,064156,0.0233219078,0.0557134463
2004,064630,0.0297733961,0.0238607994
2004,064896,0.1463086515,0.2829049352
2004,065142,0.4520759689,0.3569837926
2004,065459,0.1436457537,0.1968252455
2004,065484,0.373952508,0.3229589842
2004,065607,0.6512939985,0.1416511704
2004,065827,0.3249340936,0.1964931641
2004,102341,0.0934437859,0.1541057757
2004,109179,0.1741816775,0.7631202819
2004,109425,0.1272553743,0.397991183
2004,109823,0.019725033,0.1024123715
2004,109919,0.1391913743,0.2828839622
2004,110529,0.286735036,0.4703842018
2004,112158,0.0725333009,0.0732869752
2004,112876,0.2900279538,0.1625162245
2004,113419,0.0347357457,0.0576337122
2004,116526,0.4279662774,0.5347600294
2004,118121,0.0761311626,0.0572177225
2004,119314,0.0123597537,0.2969901233
2004,121053,0.0211217404,0.1514516796
2004,121493,0.1960618446,0.4918154085
2004,121718,0.1047185642,0.5962229314
2004,122061,0.0733276629,0.1999379393
2004,122159,0.2883347137,0.3174851487
2004,122172,0.0058855458,0.0345350746
2004,122741,0.0524419718,0.4071321082
2004,122917,0.0128600823,0.0361071542
2004,122921,0.0316594158,0.1363607798
2004,125358,0.2171736744,0.437576697
2004,126721,0.090268886,0.1535739437
2004,130762,0.0226853766,0.2042267456
2004,132361,0.0388376663,0.4142684408
2004,132599,0.2510602335,0.3880902825
2004,137131,0.1675019558,0.5795799888
2004,137432,0.5419798204,0.4250822121
2004,138129,0.2278263267,1.0424597365
2004,138343,0.1059195012,0.4285143291
2004,141243,0.0091318469,0.0065809466
2004,141957,0.0584994881,0.0696422478
2004,144115,0.0598677075,0.0094953203
2004,149477,0.5335645211,0.8531323127
2004,211819,0.0229548968,0.0436001634
2004,220748,0.0714528143,0.304936794
2005,001186,0.0224369384,0.1335120775
2005,001300,0.0558060321,0.0559808324
2005,001318,0.123153612,0.2425669322
2005,001598,0.0803661687,0.0425704819
2005,001706,0.0325191828,0.1766313539
2005,001823,0.2859766101,0.2558738091
2005,001884,0.917454836,1.2319541531
2005,002049,0.0042003864,0.0134012329
2005,002536,0.0285621922,0.0910166712
2005,002577,0.0760390758,0.0837534836
2005,002721,0.0037703475,0.0016112983
2005,002751,0.0252819685,0.0790448883
2005,002916,0.0645896791,0.0723545585
2005,002991,0.1063234605,0.148756757
2005,003107,0.106944524,0.2447060171
2005,003116,0.7133155312,0.5713823722
2005,003156,0.8299929262,0.2216458382
2005,003504,0.1865283073,0.5403141529
2005,003735,0.0906133497,0.0587088945
2005,003918,0.1195705307,0.4604937375
2005,004062,0.0969712206,0.2872587224
2005,004194,0.0402653978,0.0616844716
2005,004371,0.0085589555,0.0172442329
2005,005180,0.0097416095,0.0355421788
2005,005568,0.0104541421,0.0881234887
2005,006003,0.1962515416,0.8234575311
2005,006066,0.0094564436,0.0125412585
2005,006152,0.0935909192,0.2118443102
2005,006266,0.001199483,0.0072314692
2005,006335,0.5072339271,0.1496744733
2005,006639,0.3918495298,0.4158939974
2005,006908,0.0525385857,0.111161558
2005,006946,0.0774368964,0.0462948624
2005,007171,0.0361573302,0.0101185221
2005,007435,0.0218641837,0.0684556135
2005,007486,0.0278491961,0.0361184114
2005,007504,0.2892373591,0.5769988443
2005,007853,1.3953419153,0.9572125493
2005,007912,0.1722791524,0.332745553
2005,007984,0.0030386209,0.004581565
2005,008162,0.4425234126,0.6679273438
2005,008176,0.0823271131,0.2915751921
2005,008210,0.2674188038,0.2509421623
2005,008530,0.0020694935,0.0163008038
2005,008925,0.1649673047,0.4571383142
2005,008947,0.0003997403,0.1137989335
2005,009215,0.0370528619,0.0187328745
2005,009372,0.066256058,0.33884442
2005,010109,0.2146499747,0.388274916
2005,010374,0.0603232979,0.1207908472
2005,010920,0.0232468344,0.0349492931
2005,010983,0.0264823081,0.0539154709
2005,010984,0.2199853773,0.3969666114
2005,011191,0.0053008322,0.0039135602
2005,011649,0.2530436301,0.2211763512
2005,012053,0.002924293,0.0197641114
2005,012142,0.100816425,0.2048471184
2005,012180,0.3528304846,0.928003688
2005,012233,0.0211808198,0.1037313568
2005,012236,1.3953419153,0.0208956595
2005,012383,0.0375492045,0.0726633658
2005,012441,0.0748088138,0.1614945009
2005,012620,0.0810409257,0.2579127459
2005,012868,0.2086999867,0.0808519036
2005,013312,0.1411208739,0.1748653289
2005,013421,0.0475404785,0.088988896
2005,013683,0.0650195659,0.0407901212
2005,013709,0.3019063337,0.1773620925
2005,013824,0.0203543733,0.0300822835
2005,014282,0.1362455628,0.2018069484
