gvkey1,gvkey2,year
3278,14884,1997
3278,3278,1997
3278,3278,1998
3278,10301,1998
3278,65056,2001
3278,61987,2001
3278,119095,2001
3278,65291,2002
3278,25754,2002
3278,30617,2002
3278,14412,2004
3278,3278,2007
3278,3278,2009
3281,4870,1986
3281,11828,1989
3282,13372,1997
3297,1940,1999
3310,5993,1987
3310,1958,1988
3310,10798,1988
3310,3645,1990
3310,8145,1992
3310,1054,1995
3310,4100,1996
3310,24912,1999
3310,19349,1999
3310,61365,1999
3310,63640,2003
3310,132369,2006
3310,17505,2016
3333,29163,1997
3336,6127,2000
3336,13096,2000
3336,64639,2008
3342,9495,1988
3358,2625,2000
3358,8925,2009
3362,8415,1983
3362,7521,1987
3362,9538,2000
3362,65870,2001
3362,16603,2002
3362,4584,2003
3362,29942,2013
3362,3362,2015
3394,8542,2012
3400,2837,1987
3407,3408,1998
3407,3407,2005
3410,3410,1998
3410,12956,2009
3413,7319,1998
3413,3439,2000
3429,11264,2012
3439,65185,1998
3439,4093,1999
3439,13135,1999
3439,63742,2003
3465,147175,2012
3473,6985,1981
3473,9337,1982
3473,2603,1983
3473,7972,1985
3473,5845,1986
3480,2872,1982
3480,3228,1995
3485,2053,1987
3491,12076,1988
3491,7728,1989
3491,2939,1993
3497,6463,1981
3497,3613,1981
3497,8909,1988
3497,2920,1989
3497,25647,1998
3497,10000,1998
3497,12673,2011
3499,2822,1981
3499,10075,1982
3502,22059,2000
3504,138741,2010
3505,12604,2000
3524,6427,
3527,7710,1983
3527,16945,1994
3527,7261,1996
3532,7292,1982
3532,5536,1987
3532,12113,1989
3532,3730,1993
3532,3765,1993
3532,30837,1996
3532,8062,2000
3532,120274,2000
3532,4972,2000
3532,7114,2000
3532,19349,2001
3538,2675,2002
3543,8154,1986
3555,12689,2005
3562,12124,2013
3562,12673,2013
3580,5496,1981
3580,10837,1985
3580,6693,1988
3580,12360,1994
3580,5992,1996
3580,4060,1998
3580,17225,2002
3580,28337,2003
3580,9173,2005
3580,11465,2006
3591,1487,2007
3607,5964,1988
3607,8068,2004
3607,5306,2005
3607,100080,2006
3609,7964,1997
3619,11101,1993
3622,3622,1996
3637,3439,1998
3639,4223,2004
3650,2599,1986
3650,2599,1986
3650,13263,1997
3662,10405,1999
3662,4108,2004
3662,12459,2005
3662,19911,2012
3686,6783,1984
3693,6245,1987
3702,1169,1988
3707,63112,1998
3707,3707,2006
3713,3390,1987
3716,11800,1989
3725,10489,1984
3732,6296,1983
3734,10792,1980
3734,11287,1985
3734,28742,1997
3734,4199,1997
3734,4600,1998
3734,4600,1998
3735,11413,1986
3735,6287,1995
3735,1098,1996
3735,2461,1997
3735,8280,1998
3735,4817,1998
3735,6492,2000
3735,19953,2001
3735,5520,2002
3735,66447,2006
3735,10391,2007
3735,6370,2010
3735,15106,2011
3735,12189,2012
3735,8304,2015
3746,1269,1987
3747,3617,1987
3769,10269,1987
3769,3365,2001
3776,23076,2000
3798,1872,1988
3813,4611,2007
3821,6594,1987
3833,4768,2004
3840,2950,1998
3848,2259,2000
3848,1440,2002
3851,11391,1987
3851,3216,2000
3851,7672,2008
3851,3735,2012
3862,13498,2000
3863,20570,2010
3874,3874,
3897,3897,1998
3897,7319,1999
3897,7319,2001
3897,4103,2005
3897,11555,2008
3911,12592,1998
3918,8565,1989
3918,62975,2003
3930,9712,1982
3936,12878,1991
3937,25949,1995
3946,5345,1995
3949,5132,1983
3962,22729,2011
3962,22729,2013
3971,127455,2009
3978,10513,1981
3980,15855,1996
3980,63021,1998
3980,63021,2000
3980,146314,2002
3980,61627,2006
3980,65430,2008
3992,4114,1985
4005,4004,1983
4016,10072,1982
4029,14403,1996
4029,3255,1996
4029,11555,2005
4029,8873,2016
4034,11456,
4036,143712,2007
4040,7297,1987
4040,7554,2004
4040,118267,2007
4040,3556,2015
4050,11519,1989
4052,142027,2009
4055,25661,1995
4058,9414,1984
4058,9414,1984
4058,3001,1988
4058,11206,1997
4058,3796,2000
4058,25921,2000
4058,3580,2007
4060,6568,1987
4060,4455,1988
4060,5503,1996
4060,10671,1999
4060,10857,2001
4060,9217,2001
4060,15274,2001
4060,1440,2006
4060,4060,2007
4060,133885,2007
4060,4060,2016
4060,4087,2017
4062,10415,1987
4062,10415,1990
4062,117358,2005
4066,62442,1997
4066,15929,2000
4066,3851,2007
4066,4066,2007
4073,15102,1994
4073,24082,1994
4078,5071,2004
4087,7838,1981
4087,110480,1999
4087,24625,2002
4087,127481,2004
4087,3607,2008
4090,10072,1984
4091,6898,1984
4091,21701,1999
4091,138203,2005
4093,12104,1996
4093,8264,1998
4093,4242,2000
4093,4503,2000
4093,22140,2001
4093,22140,2001
4093,22140,2001
4093,1837,2005
4093,1279,2005
4093,4093,2006
4093,2856,2011
4093,8577,2016
4094,5842,1988
4094,6986,1990
4094,9466,2009
4100,12666,1989
4100,15325,1992
4108,11098,1987
4115,4115,2000
4115,61902,2001
4128,7013,1987
4132,1778,1983
4138,4138,1983
4140,13164,1993
4140,5764,2000
4145,147200,2007
4145,61325,2008
4145,5047,2009
4168,65457,2000
4173,14617,1994
4189,4381,
4193,4196,1994
4194,4872,1986
4194,11909,1987
4194,10066,1988
4194,29028,1996
4194,2555,1996
4194,11278,1997
4194,63138,1998
4194,29427,2002
4194,24407,2003
4194,100599,2004
4194,122317,2005
4199,1531,1986
4199,30164,1996
4199,6701,1999
4199,3497,2012
4201,15633,2006
4204,30334,1996
4213,2957,1987
4213,30843,2007
4213,186994,2015
4218,12208,1991
4222,2048,1987
4242,14479,1995
4242,23465,1998
4242,66446,1999
4242,9810,1999
