GVKEY,DATADATE,FYEAR,CIK,MD_A,PROFORMA
005978,31DEC2009,2009,0000353020,2,I
005980,31DEC1994,1994,0000722079,5,C
005980,31DEC1997,1997,0000722079,1,C
005980,31DEC2004,2004,0000722079,2,C
005988,31DEC2002,2002,0000722811,3,C
006003,31MAR2006,2005,0000703361,2,C
006003,31MAR2010,2009,0000703361,2,I
006008,31DEC1998,1998,0000050863,1,N
006008,31DEC1999,1999,0000050863,1,C
006008,31DEC2001,2001,0000050863,2,C
006008,31DEC2009,2009,0000050863,1,N
006012,31DEC1997,1997,0000353356,1,N
006034,31DEC1993,1993,0000715787,2,C
006039,31MAY1998,1997,0000351012,2,C
006039,31MAY2004,2003,0000351012,5,C
006044,31DEC1997,1997,0000745287,3,N
006066,31DEC1995,1995,0000051143,2,N
006066,31DEC1996,1996,0000051143,2,N
006066,31DEC1999,1999,0000051143,2,N
006066,31DEC2001,2001,0000051143,3,N
006066,31DEC2002,2002,0000051143,2,N
006066,31DEC2003,2003,0000051143,2,N
006066,31DEC2005,2005,0000051143,1,N
006066,31DEC2006,2006,0000051143,1,N
006066,31DEC2007,2007,0000051143,1,N
006066,31DEC2008,2008,0000051143,1,N
006066,31DEC2009,2009,0000051143,2,N
006066,31DEC2010,2010,0000051143,2,N
006066,31DEC2012,2012,0000051143,2,N
006078,31DEC2000,2000,0000051253,5,C
006097,30SEP1999,1999,0000353944,2,C
006097,30SEP2001,2001,0000353944,1,N
006097,30SEP2002,2002,0000353944,5,C
006097,30SEP2004,2004,0000353944,3,N
006097,30SEP2007,2007,0000353944,1,N
006104,31DEC1996,1996,0000051434,2,C
006104,31DEC2000,2000,0000051434,2,N
006104,31DEC2008,2008,0000051434,2,I
006104,31DEC2012,2012,0000051434,2,I
006109,30JUN2000,2000,0000316793,3,N
006115,31DEC2012,2012,0000278041,3,I
006116,30NOV1999,1999,0000051548,2,C
006121,31DEC1999,1999,0000731190,3,I
006127,31DEC1997,1997,0001024401,1,C
006127,31DEC1998,1998,0001024401,1,N
006127,31DEC2000,2000,0001024401,1,N
006135,31DEC2011,2011,0000895728,1,N
006136,31DEC1998,1998,0000051644,2,N
006152,29FEB2000,1999,0000764244,5,C
006152,28FEB2006,2005,0000764244,3,C
006158,31DEC1998,1998,0000742112,3,C
006158,31DEC1999,1999,0000742112,3,C
006159,31JUL1998,1998,0000719582,2,C
